cod_mun,nome,pop_quilombola,pop_total,pct_quilombola
3135209,Januária - MG,15012.0,65150,23.04
3135100,Janaúba - MG,7613.0,70699,10.77
3106507,Berilo - MG,5735.0,9826,58.37
3161106,São Francisco - MG,5422.0,52762,10.28
3116100,Chapada do Norte - MG,4457.0,10337,43.12
3152105,Ponte Nova - MG,3751.0,57776,6.49
3139300,Manga - MG,3418.0,18886,18.1
3171600,Virgem da Lapa - MG,3313.0,11804,28.07
3141801,Minas Novas - MG,2868.0,24405,11.75
3147006,Paracatu - MG,2836.0,94023,3.02
3112307,Capelinha - MG,2058.0,39626,5.19
3170909,Varzelândia - MG,1990.0,18840,10.56
3157005,Salinas - MG,1943.0,40178,4.84
3103405,Araçuaí - MG,1936.0,34297,5.64
3167103,Serro - MG,1879.0,21952,8.56
3156809,Sabinópolis - MG,1864.0,14240,13.09
3157807,Santa Luzia - MG,1607.0,219132,0.73
3162401,São João da Ponte - MG,1527.0,23930,6.38
3121605,Diamantina - MG,1475.0,47702,3.09
3150802,Piranga - MG,1420.0,17018,8.34
3158003,Santa Maria de Itabira - MG,1408.0,10485,13.43
3135456,Jenipapo de Minas - MG,1398.0,6100,22.92
3126505,Francisco Badaró - MG,1292.0,7366,17.54
3146552,Pai Pedro - MG,1287.0,5551,23.19
3147402,Paraopeba - MG,1273.0,24107,5.28
3108255,Bonito de Minas - MG,1252.0,10204,12.27
3117504,Conceição do Mato Dentro - MG,1173.0,23163,5.06
3117836,Cônego Marinho - MG,1168.0,7237,16.14
3118601,Contagem - MG,1159.0,621863,0.19
3155702,Rio Piracicaba - MG,1070.0,14631,7.31
3142908,Monte Azul - MG,1003.0,20328,4.93
3132503,Itamarandiba - MG,993.0,32948,3.01
3160207,Santo Antônio do Itambé - MG,990.0,3915,25.29
3146206,Ouro Verde de Minas - MG,928.0,5757,16.12
3149150,Pedras de Maria da Cruz - MG,914.0,10433,8.76
3135050,Jaíba - MG,902.0,37660,2.4
3106309,Belo Oriente - MG,897.0,23928,3.75
3171006,Vazante - MG,883.0,19975,4.42
3136959,Juvenília - MG,858.0,5789,14.82
3140852,Matias Cardoso - MG,857.0,8895,9.63
3106804,Bias Fortes - MG,833.0,3361,24.78
3116159,Chapada Gaúcha - MG,828.0,12355,6.7
3106200,Belo Horizonte - MG,821.0,2315560,0.04
3148301,Paula Cândido - MG,787.0,8659,9.09
3108602,Brasília de Minas - MG,781.0,32025,2.44
3102852,Angelândia - MG,776.0,7718,10.05
3143302,Montes Claros - MG,748.0,414240,0.18
3169901,Ubá - MG,735.0,103365,0.71
3170008,Ubaí - MG,724.0,11708,6.18
3120300,Cristália - MG,675.0,5121,13.18
3107703,Bom Jesus do Amparo - MG,670.0,5631,11.9
3109006,Brumadinho - MG,666.0,38915,1.71
3165552,Setubinha - MG,650.0,9917,6.55
3171030,Verdelândia - MG,625.0,7672,8.15
3119500,Coronel Murta - MG,622.0,8200,7.59
3115474,Catuti - MG,601.0,4739,12.68
3154606,Ribeirão das Neves - MG,600.0,329794,0.18
3128006,Guanhães - MG,581.0,32244,1.8
3122009,Divino - MG,579.0,20706,2.8
3140605,Materlândia - MG,557.0,3963,14.06
3161908,São Gonçalo do Rio Abaixo - MG,554.0,11850,4.68
3171303,Viçosa - MG,537.0,76430,0.7
3157658,Santa Helena de Minas - MG,510.0,5938,8.59
3166956,Serranópolis de Minas - MG,499.0,4399,11.34
3154507,Riacho dos Machados - MG,497.0,8756,5.68
3164209,São Romão - MG,484.0,10315,4.69
3138682,Luislândia - MG,483.0,6210,7.78
3104700,Ataléia - MG,477.0,13736,3.47
3118809,Coração de Jesus - MG,469.0,25377,1.85
3169406,Três Pontas - MG,449.0,55255,0.81
3126703,Francisco Sá - MG,442.0,23476,1.88
3153202,Presidente Juscelino - MG,441.0,3465,12.73
3168606,Teófilo Otoni - MG,439.0,137418,0.32
3127339,Gameleiras - MG,436.0,4793,9.1
3116803,Coluna - MG,434.0,8163,5.32
3123106,Dores de Guanhães - MG,434.0,5029,8.63
3131703,Itabira - MG,431.0,113343,0.38
3152204,Porteirinha - MG,428.0,37438,1.14
3134004,Itinga - MG,413.0,13745,3.0
3102506,Amparo do Serra - MG,408.0,4541,8.98
3127057,Fronteira dos Vales - MG,378.0,4345,8.7
3106408,Belo Vale - MG,349.0,8627,4.05
3108107,Bonfim - MG,337.0,7434,4.53
3148608,Peçanha - MG,335.0,17446,1.92
3136009,Joaíma - MG,327.0,13888,2.35
3154200,Resende Costa - MG,317.0,11230,2.82
3160702,Santos Dumont - MG,312.0,42406,0.74
3107307,Bocaiúva - MG,312.0,48032,0.65
